account	userType	voiBalance	viaBalance
XCVLOA6QE7R26EY7PPAOP4HQPTL372ZSDTY5METXGXHWFBNKQDQXHWHA7A	snapshot	3635960662549	1032444117
LVIQ6YM6OPAVA77AZNLAXVDX566QDJKRKIEIBXIHDCRK7LSJC3HIGBGHQA	snapshot	3631446957093	0
XM4ZODSANMIBBY6P6QJO65BCRLNTFTLMLI7UTDO7OLS4N2ABB72WJXI3NE	snapshot	3437349174051	188493953318
6UURB2M7BBWIPB5PB77NVRAY2RDVK7ZRL7RLU53DMD4T3X7HPJ3NGCP4WU	snapshot	3574064732760	15128341553
BEEFEWNPV72AOTW6GG33HEIHEHTWPDR7KWMAK4ARNSD2MEJM4K526UEHY4	snapshot	3501039658035	66423566667
L6DVTZ23OXM36WUQ3DID7JFS65YVQTFBF667XQQAHY5U3LIZCGIGKKNMGU	snapshot	3544493539602	0
RLXIMVTOYVG4KBXEDJOF4L5V2OPLVAQIIPUGBCUJZSVUVLSD7NWJY6EXVY	snapshot	3537059831391	4042081780
PLKOKLXRSCUPXEDJ27Z2PLR5UIQB6DVDY635KCG3ZBFKKDQEPEKWBBBJMI	snapshot	3534283647921	1000000000
FKO6GGVVVVIPCCVSNQJONFDSKVQDUZRVHLV4NLJJVMYWCIDVXBA6Z2LMXI	snapshot	209492777669	3315357592012
HRBS5SLOFBXXSQRUHBSGH3E3R6PHSHVVUXY65POW3XHT7JOMPJF6T6KJA4	snapshot	3522296674351	0
QR36VBICMIJC2HFQP4T33NOLECGMV6FNVIHCDOTA64PUVR5FCICYZQEHYM	snapshot	3447157203910	58950601973
AW33EN3JYYCLMDJVDMMRLZCDETCVXUJBVJW5EHUNGXQW4RMZWWXKDBKKSQ	snapshot	3505639753027	0
MUTS5EI5IYSNNM2QDLNPBJ2NNRSRRMUC4S6OTCXM3JZMHUAJOSJT6YUKRA	snapshot	3496396303483	6635220254
5UD66TOXYWBUGTF3RECYHS723QC7NMHGAXBAVFWTZPIEBTDNHOLGTCHWFI	snapshot	3455633535514	0
7PG2OFK3UCZ7WD4EIBDRK5W4GMXGRPM37JCFSXK2WXQRXIN53TYVAAFXWM	snapshot	3439253605108	0
PU7OZ2ML6ELO3LENDUFD6V35XRPZ72INDUIDD65C6KDVU5S6WUN7COMC3A	snapshot	3387151969359	42079653241
OX7N4RN7EXW3UTLHRKFEFSYFNXWJOBGFBOGSW2NUIQ4YCJGNXBS63ZTVDY	snapshot	3429215042358	0
WKU6ISGGC3WCQBMDBRYN3CXAM46H4PQ3YCXP3RLTFYWHWDXFG4N7XNDSGY	snapshot	3423339002232	0
TJUVSNRBDTF2DDAWQDNLE5B4J2KUA7QQOEWSBFT5OGVPFZX5C25WWG4D3I	snapshot	3410221252556	0
VZK3VTY767AKITXFYKANANWQPEI4BQBRW43XRMTKPYHCVORAZAD5LJJEKM	snapshot	3385503552803	6100000000
VOINOTFUHAR3NYQQHRP34DJ6KIJH3SFPCXUIXXU3IKWHHY6DY4WWJP44IM	snapshot	3373764671511	0
HGNP3L6KZ3VK7BPTUIBK3APYQYSO4AZ2LWXA2LUZCRFDQC6K4LI7UWC2N4	snapshot	3310970468035	5000005181
GR5TOPPARZWPTHDJI7DZU5ETMMYNVFZEH67SXOWQHQAZQQHYZDJ6FCACZM	snapshot	3290981722088	5032449299
VFR4XCDMAXMDL2EPK5E6XSQOETSXVD5EKIIDNWFWVNMRPC6G4LGH6AKSHY	snapshot	3193588911639	101097450335
FEOBLGMDYO254OR3THUBF5S5JHVKMID4NQZSMI5PPCX6K3C3UX3AURZ3WM	snapshot	17700131739	3245103150642
VOIDVXL3GW3MYYXJ5DY3PTTVWSAZD4VFSIQCL6DXOBUFSPHGC4RCKCLD5E	snapshot	1904167033298	1343008925125
CUY4TINI2DHV333UUNGDMVD23RDY7LMGEB2ZP364OWVLAWY5UGXR53OVOI	snapshot	2249627020535	989550555049
X6NI2AEJKOMHQEWGNTJ2FP7VCJPM2IW5NPUHYF4HJGXPABZRQOR5F6C3ZE	snapshot	3211893683387	19762298287
IKBA63OLIONTVSA2LXQCPIV7BHCEDWMIHTOIVAZJBALYVBHQD6SGZ6HI4A	snapshot	3216801237905	0
GZLNLVUUOCBRKC6RM4A2ZEB6NBNQSULHOKKO45EUDIXPZB5OY5I3MBXNKU	snapshot	3211030802223	1000000000
G7YV23APCBLYTMCN55E3P7WWT2MKMYJQYLB6HNLOCJDHM67WF25ZYIGU6E	snapshot	3185848669926	3201649299
5KIIDNMPUPTY5TMDOIR4W7IKRK7IDIYUTLUVZKAXUFFWYZRZXLXVSZNWKM	snapshot	3175029041821	1961599956
ARCTML2BOGUM7RT7VIMM6T7ZIZ7W5WH2EXCK75VMWE4Z4S4ZPDICXR2XVQ	snapshot	46553754467	3124771463230
MUTN56X3MPLJWR6F5IJ3DR77RKMQZUWIDR4GPXMKT5SWSXZMTO2QHN7RJI	snapshot	3167821151965	0
7TRSTDOU5WCQ3JNPL7WX25G67MHPVOVG2K6LONLJFNLOUGSL2CLYBPJVR4	snapshot	3135846441345	0
IN55A64JOE6PZELLU5LNHH5PM5FQ6QINJA3FHYG3C7NQ7FWCQUT7G4WNPM	snapshot	3119738278165	0
R45WPDWADHVPP2PW7BKJUX2YTSNZ5AWXBOEKGHXLN55BGZSZGWGSVS5V5E	snapshot	3107056264307	0
GPXA3I6PRDCODCR4PL4GICVEJNRR5YQOGQWX67ZIXJ6VUNH7XLA5QH3XHM	snapshot	3094768131464	1000000000
2I4T4RIVRCFMUNGLICPQVQ4QU6P7FPZURCFSIWOWS5CR5RNS4JOPO3C5LY	snapshot	3081370385190	1000000000
MO62A5OY5LBKOLQPJJAQTL3Y2DRRMCV7JH2ATLS6JMBJ3MNFFHJLKMRGVY	snapshot	6416011006	3049164446264
DORKBJ6VCEB4FRZ5GC7JWFBN3HEKZRIUX3NKN2YMGEEXOLI7TNUOK3GZBY	snapshot	10000000	3000000000000
26VN3QDHQ7AYKA563TRRW3V2F7XMA2243WFDCDKYWQ2GP2Z6NHSZHYF5T4	snapshot	2978775627300	5640539355
IITEWKELRQFB6VCIH4RQ6J6WEMSLPLWP4QZIB4FLJOFQ66PFP2QQ3SZNPI	snapshot	2952232437651	12720666667
QGVG4QN2C2Q3L7GQFUBC26AGHQTGBX4F4AE6DZEHW4HNSZARZ3F3LUQOBE	snapshot	2933680010984	5000000000
7WO47R4XY5TIO3YP4KFK7RU6Z72YL5VPPIOM2P5NNFH6YFYLQZVVJWMJFI	snapshot	2753196607652	184057742431
RTE37O3CGQIPXRKTCA2KVNQ6VBUEDHGR42XVLIQT5FH4KQBXCOF32ZQOJQ	snapshot	54854037675	2876141094800
4O3WFM7EKQORGYOAQYCZKM4MIRZ3WG55DYTYDGKAVUFZSNBHUMLB7TWAYM	snapshot	2911091719359	0
